source_asin,source,listing_url,product_type,relevance_score,competitor_type,product_form,material,material_evidence,detail_material,detail_evidence,pack_count,closure,style,use_case,feature_tags,asin,parent_asin,title,brand,price,monthly_sales,reviews,rating,seller_address,is_fba,variation_count,bsr_category,main_image_url,image_file,visual_product_form,visual_material_signal,visual_pack_count,visual_closure,visual_style,visual_notes
B0FHBMG2B3,keyword,https://www.amazon.com/dp/B086MCB2KZ,HOSE PIPE FITTING,51.9,keyword,unknown,plastic,detail:plastic,plastic,detail:plastic,1,lid,unknown,unknown,washable,B086MCB2KZ,B0BZ3MQCQM,"Hourleey Brass Garden Hose Splitter (4 Way), Solid Brass Hose Connector 3/4”, Hose Spigot Adapter 4 Valves with 4 Extra Rubber Washers",Hourleey,17.99,5000.0,12952.0,4.5,CN,True,4.0,Splitters / 17384647011 / 2,https://m.media-amazon.com/images/I/71QbDWtBlHL._AC_SL1500_.jpg,,,,,,,
B0FHBMG2B3,keyword/category,https://www.amazon.com/dp/B08Q8JN2W3,HOSE PIPE FITTING,51.5,keyword,unknown,stainless steel,detail:stainless steel,stainless steel,detail:stainless steel,2,unknown,unknown,unknown,washable,B08Q8JN2W3,B0GWKYG1R4,"Triumpeek 3/4“ Brass 2 Way Hose Splitter, Brass 2 Way Garden Hose Connector with 2 Pcs Garden Hose Coiled Spring Protectors and 6 Rubber Washers",Triumpeek,16.99,1000.0,1450.0,4.6,US,True,2.0,Garden Hose Splitters / 17384647011 / 21,https://m.media-amazon.com/images/I/81MqKn++n7L.jpg,,,,,,,
B0FHBMG2B3,keyword,https://www.amazon.com/dp/B0FK1TJ7HX,OUTDOOR LIVING,50.8,keyword,unknown,unknown,,unknown,,1,unknown,unknown,unknown,,B0FK1TJ7HX,B0FK21TB16,"Garden Hose Tee Adapter GHT 3/4 Brass Female x Male x Male Swivel Water Pipe Connector,Heavy Duty 3 Way Splitter T Shaped Fitting for Outdoor Faucet/Bibs, Drip Irrigation Line",Napredak,12.99,200.0,27.0,4.9,CN,True,2.0,Parts & Connectors / 553968 / 374,https://m.media-amazon.com/images/I/61d459taZHL.jpg,,,,,,,
B0FHBMG2B3,keyword,https://www.amazon.com/dp/B0GL7QMQS1,HOSE PIPE FITTING,50.7,keyword,unknown,plastic,detail:plastic,plastic,detail:plastic,1,unknown,unknown,unknown,,B0GL7QMQS1,B0GL7QMQS1,"Hose Splitter 2 Way Heavy Duty, Garden Hose Splitter- Full Metal Body Y Type with Dual Shut Off Valves, 3/4' Standard Threads, Leak-Proof Dual Outlet Splitter for Sprinklers and Irrigation Systems",ANDVANA,22.27,2000.0,71.0,4.8,CN,True,1.0,Garden Hose Splitters / 17384647011 / 17,https://m.media-amazon.com/images/I/713rY5mwrUL._AC_SL1500_.jpg,,,,,,,
B0FHBMG2B3,keyword/category,https://www.amazon.com/dp/B07X56LDV4,HOSE PIPE FITTING,50.6,keyword,unknown,unknown,,unknown,,1,unknown,unknown,unknown,,B07X56LDV4,B07X56LDV4,"4 Way Garden Hose Splitter Metal Hose Connector, Easy Grip, Easy to Open",Riemex,19.99,100.0,641.0,4.1,UA,True,0.0,Garden Hose Splitters / 17384647011 / 122,https://m.media-amazon.com/images/I/71JI4wZC2aL._AC_SL1500_.jpg,,,,,,,
B0FHBMG2B3,keyword/category,https://www.amazon.com/dp/B0C59773WP,HOSE PIPE FITTING,50.5,keyword,unknown,unknown,,unknown,,1,unknown,unknown,unknown,,B0C59773WP,B0C6R83GL5,"YELUN Garden Hose Splitter,2 Way Connector Heavy Duty Brass, Garden Faucet,Splitter for Outdoor Faucet, Hose y Splitter, Hose Bib Splitter (1 SET)",YELUN,8.99,100.0,335.0,4.4,CN,True,0.0,Splitters / 17384647011 / 108,https://m.media-amazon.com/images/I/61Av7E9O5pL._AC_UL320_.jpg,,,,,,,
B0FHBMG2B3,keyword/category,https://www.amazon.com/dp/B0BKKLGP57,HOSE PIPE FITTING,49.3,keyword,unknown,unknown,,unknown,,1,unknown,unknown,unknown,,B0BKKLGP57,B0BS3JB2K3,"AINEED Garden Hose Splitter 2 Way Heavy Duty, Hose Connector Faucet Y Splitter, Outdoor Water Spigot Hose Bib Splitter with Shut off Valve",AINEED,9.69,100.0,487.0,4.3,CN,True,0.0,Splitters / 17384647011 / 173,https://m.media-amazon.com/images/I/71eN5dfyWzL._AC_UL320_.jpg,,,,,,,
B0FHBMG2B3,keyword/category,https://www.amazon.com/dp/B0GVNBH46J,,49.2,keyword,unknown,unknown,,unknown,,6,lid,unknown,unknown,,B0GVNBH46J,B0GVN6PKRF,"Garden Hose Quick Connector, 2026 Upgrade Heavy Duty Solid Brass 3/4 Inch Quick Connect Hose Fittings, Universal Leak-Proof Fittings for Instant Connection (A-6Pcs)",ROWPOZ,25.64,0.0,1.0,5.0,,True,3.0,Garden Hose Splitters / 17384647011 / 147,https://m.media-amazon.com/images/I/615pxi+ng9L._AC_SL1000_.jpg,,,,,,,
B0FHBMG2B3,keyword,https://www.amazon.com/dp/B0DT756K4G,HOSE PIPE FITTING,49.1,keyword,unknown,stainless steel,title:stainless steel; detail:stainless steel,stainless steel,title:stainless steel; detail:stainless steel,1,unknown,unknown,unknown,,B0DT756K4G,B0FDL5MY89,"SNUTUYA 304 Stainless Steel Garden Hose Splitter 2 Way Heavy Duty, Full Flow Y Valve Water Hose Splitter With Long Handle, Lead-free，3/4“ GHT Thread",SNUTUYA,18.98,1000.0,516.0,4.8,CN,True,2.0,Splitters / 17384647011 / 20,https://m.media-amazon.com/images/I/71mqx3OClML.jpg,,,,,,,
B0FHBMG2B3,keyword/category,https://www.amazon.com/dp/B0B1YZGLQC,HOSE PIPE FITTING,47.7,keyword,unknown,plastic,detail:plastic,plastic,detail:plastic,1,unknown,unknown,unknown,washable,B0B1YZGLQC,B0D5GRWMD1,"Sanpaint Hose Splitter 2 Way Heavy Duty Y Valve, Spigot Splitter for Garden Hose, Water Hose Y Splitter with 2 Extra Rubber Washers",Sanpaint,6.99,2000.0,752.0,4.5,HK,True,1.0,Garden Hose Splitters / 17384647011 / 32,https://m.media-amazon.com/images/I/71g5MroqKaL._AC_SL1500_.jpg,,,,,,,
B0FHBMG2B3,keyword/category,https://www.amazon.com/dp/B0GMBFTJ2K,HOSE PIPE FITTING,46.4,keyword,unknown,plastic,detail:plastic; detail:opp,plastic,detail:plastic; detail:opp,1,lid,unknown,unknown,washable,B0GMBFTJ2K,B0GYYX9LQB,"Nickel Plated Solid Brass Garden Hose Splitter, Heavy Duty 2 Way Y Faucet Adapter with Dual Shut Off Valves, Leak Proof 3/4 Inch Hose Bib Spigot for Outdoor Watering, Includes 3 Extra Washers",Solifo,9.49,0.0,17.0,3.9,CN,True,0.0,Splitters / 17384647011 / 175,https://m.media-amazon.com/images/I/715pNP7EvTL._AC_SL1280_.jpg,,,,,,,
B0FHBMG2B3,keyword/category,https://www.amazon.com/dp/B0DCZ6PZYZ,HOSE PIPE FITTING,46.3,keyword,unknown,plastic,title:plastic; detail:plastic,plastic,title:plastic; detail:plastic,2,unknown,unknown,unknown,,B0DCZ6PZYZ,B0GS1RPB8T,2 Pack Garden Hose Splitter 2 Ways Water Hose Splitter Heavy Duty Plastic 3/4“ Hose Y Splitter Outdoor Faucet Splitter with Leak Proof Tape and 4 Extra Rubber Gaskets,Vtenyeo,8.99,200.0,35.0,4.2,CN,True,2.0,Garden Hose Splitters / 17384647011 / 92,https://m.media-amazon.com/images/I/61WHazsFooL.jpg,,,,,,,
B0FHBMG2B3,keyword,https://www.amazon.com/dp/B0C1Z88NPM,HOSE PIPE FITTING,45.2,keyword,unknown,unknown,,unknown,,4,unknown,unknown,unknown,washable,B0C1Z88NPM,B0B63XP3XT,"1/2/4 Pack 2 Way Hose Splitter, for 3/4“ Hose Connector, with Rubber Washers & Tapes",LFSEMINI,5.99,5000.0,1666.0,4.6,CN,True,5.0,Garden Hose Splitters / 17384647011 / 4,https://m.media-amazon.com/images/I/61msHabz+6L._AC_SL1500_.jpg,,,,,,,
B0FHBMG2B3,keyword,https://www.amazon.com/dp/B01N9QQCJP,HOSE PIPE FITTING,45.1,keyword,unknown,unknown,,unknown,,1,unknown,unknown,unknown,washable,B01N9QQCJP,B0FTB7SHM5,"Morvat Brass Heavy-Duty Garden Hose Water Splitter | LEAD-FREE 2-Way Y Splitter for Water Spigot & Faucet | Manifold Connector ON/OFF Valves w/Improved Comfort Grip, 3 Extra Washers & Teflon Tape",Morvat,14.99,900.0,18724.0,4.6,US,True,8.0,Splitters / 17384647011 / 29,https://m.media-amazon.com/images/I/8152YEN8dHL.jpg,,,,,,,
B0FHBMG2B3,keyword/category,https://www.amazon.com/dp/B0C5S5W3GS,HOSE PIPE FITTING,43.7,keyword,unknown,plastic,title:opp; detail:opp,plastic,title:opp; detail:opp,1,unknown,unknown,unknown,,B0C5S5W3GS,B0C5S5W3GS,"Pocket Hose Copper Bullet 2-Way Hose Splitter, Heavy-Duty, AS SEEN ON TV, Y-Shaped, Leak-Proof, Connect Two Hoses at Once, Lead-Free, Independent On/Off Switches, Fits Standard Faucets & Garden Hoses",Pocket Hose,24.99,100.0,142.0,3.9,US,False,1.0,Garden Hose Splitters / 17384647011 / 123,https://m.media-amazon.com/images/I/61KwxUhG+9L._AC_SL1500_.jpg,,,,,,,
