category_id,name,path,depth,is_leaf,selection_score,rotation_bucket,previous_last_scanned_at,previous_scan_count,products_examined,candidate_count,scan_completed_at,scan_status,scan_error,category_total_sales,category_median_reviews,category_top10_median_reviews,category_top_brand,category_top_brand_share,category_top10_sales_share,category_low_review_high_sales_count,category_new_listing_share_12m,category_cn_hk_seller_share,category_fba_share,category_price_median,category_health_score,category_health_flags,category_health_rank
1243386011,Tool Sets,"Home & Kitchen > Heating, Cooling & Air Quality > Parts & Accessories > Stove & Fireplace Accessories > Fireplace Tools > Tool Sets",5,True,40.0,never_scanned,,0,100,5,2026-09-02T22:38:07,success,,6057.0,157.0,1216.0,Pure Garden,0.1,0.586,0,0.23,0.58,0.86,39.99,64.9,,71
8147491011,Edible Printer Paper & Frosting Sheets,Home & Kitchen > Kitchen & Dining > Bakeware > Decorating Tools > Edible Printer Ink & Paper > Edible Printer Paper & Frosting Sheets,5,True,40.0,never_scanned,,0,100,0,2026-09-02T22:38:08,success,,20903.0,34.0,486.0,paper2eat,0.2,0.595,5,0.394,0.33,0.55,16.99,88.1,,8
16188240011,Bread Proofing Baskets,Home & Kitchen > Kitchen & Dining > Kitchen Utensils & Gadgets > Baking Tools & Accessories > Baking & Pastry Utensils > Bread Proofing Baskets,5,True,40.0,never_scanned,,0,100,38,2026-09-02T22:38:08,success,,108252.0,244.0,2178.0,DOYOLLA,0.2,0.45,21,0.357,0.66,0.98,22.1,90.9,top10 review wall,4
678523011,Cake Testers,Home & Kitchen > Kitchen & Dining > Kitchen Utensils & Gadgets > Baking Tools & Accessories > Baking & Pastry Utensils > Cake Testers,5,True,40.0,never_scanned,,0,97,0,2026-09-02T22:38:08,success,,13778.0,2.0,420.0,KacNacPro,0.2,0.871,0,0.588,0.68,0.773,6.49,62.4,sales concentration; price band outside target,78
678524011,Dough Blenders,Home & Kitchen > Kitchen & Dining > Kitchen Utensils & Gadgets > Baking Tools & Accessories > Baking & Pastry Utensils > Dough Blenders,5,True,40.0,never_scanned,,0,100,1,2026-09-02T22:38:08,success,,24565.0,58.0,1333.0,Spring Chef,0.3,0.812,0,0.18,0.49,0.84,8.99,51.8,sales concentration; price band outside target,96
678525011,Pastry Brushes,Home & Kitchen > Kitchen & Dining > Kitchen Utensils & Gadgets > Baking Tools & Accessories > Baking & Pastry Utensils > Pastry Brushes,5,True,40.0,never_scanned,,0,100,3,2026-09-02T22:38:08,success,,51247.0,108.0,2744.0,HOTEC,0.1,0.655,7,0.25,0.61,0.97,7.18,81.8,top10 review wall; price band outside target,16
3109475011,Bottle Openers,Home & Kitchen > Kitchen & Dining > Kitchen Utensils & Gadgets > Bar & Wine Tools > Corkscrews & Openers > Bottle Openers,5,True,40.0,never_scanned,,0,100,7,2026-09-02T22:38:08,success,,79365.0,611.0,4074.0,HUMANFUN,0.1,0.374,12,0.194,0.72,0.97,8.96,74.9,top10 review wall; price band outside target,31
13825981,Screwpull Levers,Home & Kitchen > Kitchen & Dining > Kitchen Utensils & Gadgets > Bar & Wine Tools > Corkscrews & Openers > Screwpull Levers,5,True,40.0,never_scanned,,0,47,5,2026-09-02T22:38:08,success,,6138.0,73.0,510.0,KEISSCO,0.2,0.907,0,0.085,0.319,0.638,23.95,47.6,sales concentration,100
13826001,Waiter Corkscrews,Home & Kitchen > Kitchen & Dining > Kitchen Utensils & Gadgets > Bar & Wine Tools > Corkscrews & Openers > Waiter Corkscrews,5,True,40.0,never_scanned,,0,100,13,2026-09-02T22:38:08,success,,38091.0,180.0,2488.0,Kit-Home,0.2,0.634,3,0.131,0.4,0.91,12.99,63.5,top10 review wall,76
13826011,Wing Corkscrews,Home & Kitchen > Kitchen & Dining > Kitchen Utensils & Gadgets > Bar & Wine Tools > Corkscrews & Openers > Wing Corkscrews,5,True,40.0,never_scanned,,0,100,1,2026-09-02T22:38:08,success,,32574.0,50.0,2180.0,Beneno,0.1,0.901,1,0.17,0.34,0.7,8.99,57.5,top10 review wall; sales concentration; price band outside target,88
21560397011,Ice Bucket Kits,Home & Kitchen > Kitchen & Dining > Kitchen Utensils & Gadgets > Bar & Wine Tools > Ice Buckets & Tongs > Ice Bucket Kits,5,True,40.0,never_scanned,,0,100,0,2026-09-02T22:38:08,success,,23956.0,18.0,354.0,Havawish,0.2,0.898,4,0.36,0.56,0.62,21.99,80.0,sales concentration,18
678496011,Ice Buckets,Home & Kitchen > Kitchen & Dining > Kitchen Utensils & Gadgets > Bar & Wine Tools > Ice Buckets & Tongs > Ice Buckets,5,True,40.0,never_scanned,,0,100,0,2026-09-02T22:38:08,success,,56259.0,166.0,312.0,OBTANIM,0.2,0.315,23,0.31,0.72,0.97,29.99,93.7,,2
678497011,Ice Tongs,Home & Kitchen > Kitchen & Dining > Kitchen Utensils & Gadgets > Bar & Wine Tools > Ice Buckets & Tongs > Ice Tongs,5,True,40.0,never_scanned,,0,100,0,2026-09-02T22:38:08,success,,18206.0,16.0,398.0,Mity rain,0.1,0.778,1,0.37,0.83,0.92,9.09,69.6,sales concentration; price band outside target,50
678498011,Wine Pourers,Home & Kitchen > Kitchen & Dining > Kitchen Utensils & Gadgets > Bar & Wine Tools > Wine Stoppers & Pourers > Wine Pourers,5,True,40.0,never_scanned,,0,100,0,2026-09-02T22:38:08,success,,55319.0,326.0,3571.0,Pafusen,0.2,0.463,6,0.11,0.64,0.99,14.99,73.1,top10 review wall,37
